prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.27,Baseline,-,0.6337,-,0.6337,0.9406,0.0,0.6548,0.9429,0.0,478,304,252,5017,-,-
0.28,Baseline,-,0.6246,-,0.6246,0.9437,0.0,0.6452,0.9451,0.0,471,292,259,5029,-,-
0.29,Baseline,-,0.6201,-,0.6201,0.9464,0.0,0.6356,0.9466,0.0,464,284,266,5037,-,-
0.3,Baseline,-,0.617,-,0.617,0.9487,0.0,0.6274,0.9489,0.0,458,272,272,5049,-,-
0.31,Baseline,-,0.6155,-,0.6155,0.9503,0.0,0.6233,0.9498,0.0,455,267,275,5054,-,-
0.32,Baseline,-,0.6079,-,0.6079,0.9534,0.0,0.6164,0.9509,0.0,450,261,280,5060,-,-
0.33,Baseline,-,0.6033,-,0.6033,0.9553,0.0,0.6137,0.9519,0.0,448,256,282,5065,-,-
0.34,Baseline,-,0.5973,-,0.5973,0.9561,0.0,0.6027,0.9543,0.0,440,243,290,5078,-,-
0.35,Baseline,-,0.5897,-,0.5897,0.9573,0.0,0.5932,0.956,0.0,433,234,297,5087,-,-
0.36,Baseline,-,0.5866,-,0.5866,0.9581,0.0,0.5863,0.9583,0.0,428,222,302,5099,-,-
0.37,Baseline,-,0.5805,-,0.5805,0.96,0.0,0.5822,0.9596,0.0,425,215,305,5106,-,-
0.38,Baseline,-,0.576,-,0.576,0.9614,0.0,0.5712,0.9615,0.0,417,205,313,5116,-,-
0.39,Baseline,-,0.5684,-,0.5684,0.9621,0.0,0.5671,0.9628,0.0,414,198,316,5123,-,-
0.4,Baseline,-,0.5669,-,0.5669,0.9631,0.0,0.563,0.9637,0.0,411,193,319,5128,-,-
0.41,Baseline,-,0.5623,-,0.5623,0.9641,0.0,0.5548,0.9647,0.0,405,188,325,5133,-,-
0.42,Baseline,-,0.5547,-,0.5547,0.9654,0.0,0.5534,0.9669,0.0,404,176,326,5145,-,-
0.43,Baseline,-,0.5517,-,0.5517,0.9666,0.0,0.5479,0.9684,0.0,400,168,330,5153,-,-
0.44,Baseline,-,0.5441,-,0.5441,0.9681,0.0,0.5425,0.9697,0.0,396,161,334,5160,-,-
