prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.79,Baseline,-,0.0469,-,0.0469,0.9976,0.0,0.0479,0.9983,0.0,40,9,795,5225,-,-
0.8,Baseline,-,0.0455,-,0.0455,0.998,0.0,0.0443,0.9987,0.0,37,7,798,5227,-,-
0.81,Baseline,-,0.0402,-,0.0402,0.9982,0.0,0.0431,0.9987,0.0,36,7,799,5227,-,-
0.82,Baseline,-,0.0402,-,0.0402,0.9984,0.0,0.0419,0.9987,0.0,35,7,800,5227,-,-
0.83,Baseline,-,0.0388,-,0.0388,0.9984,0.0,0.0383,0.9987,0.0,32,7,803,5227,-,-
0.84,Baseline,-,0.0375,-,0.0375,0.9984,0.0,0.0371,0.9987,0.0,31,7,804,5227,-,-
0.85,Baseline,-,0.0348,-,0.0348,0.9984,0.0,0.0347,0.9987,0.0,29,7,806,5227,-,-
0.86,Baseline,-,0.0308,-,0.0308,0.999,0.0,0.0299,0.999,0.0,25,5,810,5229,-,-
0.87,Baseline,-,0.0268,-,0.0268,0.9992,0.0,0.024,0.999,0.0,20,5,815,5229,-,-
0.88,Baseline,-,0.0241,-,0.0241,0.9992,0.0,0.0228,0.9992,0.0,19,4,816,5230,-,-
0.89,Baseline,-,0.0241,-,0.0241,0.9992,0.0,0.0168,0.9992,0.0,14,4,821,5230,-,-
0.9,Baseline,-,0.0214,-,0.0214,0.9992,0.0,0.0132,0.9992,0.0,11,4,824,5230,-,-
0.91,Baseline,-,0.0201,-,0.0201,0.9992,0.0,0.012,0.9992,0.0,10,4,825,5230,-,-
0.92,Baseline,-,0.0161,-,0.0161,0.9992,0.0,0.0108,0.9992,0.0,9,4,826,5230,-,-
0.93,Baseline,-,0.012,-,0.012,0.9992,0.0,0.0108,0.9992,0.0,9,4,826,5230,-,-
0.94,Baseline,-,0.0107,-,0.0107,0.9992,0.0,0.0108,0.9992,0.0,9,4,826,5230,-,-
0.95,Baseline,-,0.0107,-,0.0107,0.9994,0.0,0.0096,0.9992,0.0,8,4,827,5230,-,-
0.96,Baseline,-,0.008,-,0.008,0.9996,0.0,0.0072,0.9992,0.0,6,4,829,5230,-,-
0.97,Baseline,-,0.0067,-,0.0067,0.9996,0.0,0.006,0.9992,0.0,5,4,830,5230,-,-
0.98,Baseline,-,0.004,-,0.004,0.9996,0.0,0.0048,0.9994,0.0,4,3,831,5231,-,-
0.99,Baseline,-,0.0027,-,0.0027,0.9996,0.0,0.0012,0.9994,0.0,1,3,834,5231,-,-
1.0,Baseline,-,0.0,-,0.0,0.9996,0.0,0.0,0.9996,0.0,0,2,835,5232,-,-
