prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.79,Baseline,-,0.2492,-,0.2492,0.9932,0.0,0.226,0.9945,0.0,165,29,565,5292,-,-
0.8,Baseline,-,0.2386,-,0.2386,0.9934,0.0,0.2205,0.9947,0.0,161,28,569,5293,-,-
0.81,Baseline,-,0.2356,-,0.2356,0.9934,0.0,0.2137,0.9947,0.0,156,28,574,5293,-,-
0.82,Baseline,-,0.228,-,0.228,0.9936,0.0,0.2055,0.9953,0.0,150,25,580,5296,-,-
0.83,Baseline,-,0.2143,-,0.2143,0.9936,0.0,0.1904,0.9953,0.0,139,25,591,5296,-,-
0.84,Baseline,-,0.2067,-,0.2067,0.9946,0.0,0.1836,0.9955,0.0,134,24,596,5297,-,-
0.85,Baseline,-,0.1976,-,0.1976,0.9948,0.0,0.1726,0.9955,0.0,126,24,604,5297,-,-
0.86,Baseline,-,0.19,-,0.19,0.9951,0.0,0.1671,0.9959,0.0,122,22,608,5299,-,-
0.87,Baseline,-,0.1809,-,0.1809,0.9951,0.0,0.1521,0.9961,0.0,111,21,619,5300,-,-
0.88,Baseline,-,0.1717,-,0.1717,0.9955,0.0,0.1438,0.9964,0.0,105,19,625,5302,-,-
0.89,Baseline,-,0.1626,-,0.1626,0.9957,0.0,0.1315,0.997,0.0,96,16,634,5305,-,-
0.9,Baseline,-,0.155,-,0.155,0.9959,0.0,0.1151,0.9974,0.0,84,14,646,5307,-,-
0.91,Baseline,-,0.1444,-,0.1444,0.9961,0.0,0.1096,0.9976,0.0,80,13,650,5308,-,-
0.92,Baseline,-,0.1322,-,0.1322,0.9963,0.0,0.1014,0.9977,0.0,74,12,656,5309,-,-
0.93,Baseline,-,0.1261,-,0.1261,0.9971,0.0,0.0945,0.9977,0.0,69,12,661,5309,-,-
0.94,Baseline,-,0.114,-,0.114,0.9973,0.0,0.0795,0.9979,0.0,58,11,672,5310,-,-
0.95,Baseline,-,0.1018,-,0.1018,0.9975,0.0,0.0658,0.9979,0.0,48,11,682,5310,-,-
0.96,Baseline,-,0.0805,-,0.0805,0.9977,0.0,0.0589,0.9981,0.0,43,10,687,5311,-,-
0.97,Baseline,-,0.0714,-,0.0714,0.9981,0.0,0.0521,0.9983,0.0,38,9,692,5312,-,-
0.98,Baseline,-,0.0608,-,0.0608,0.9983,0.0,0.0411,0.9989,0.0,30,6,700,5315,-,-
0.99,Baseline,-,0.0456,-,0.0456,0.9984,0.0,0.0288,0.9989,0.0,21,6,709,5315,-,-
1.0,Baseline,-,0.0076,-,0.0076,0.9996,0.0,0.0014,0.9996,0.0,1,2,729,5319,-,-
