feature,importance_gain
vitals_resprate_last,5.93197774887085
labvalues_creatinine_max,5.931710243225098
labvalues_hemoglobin_max,5.924873352050781
labvalues_alanine_aminotransferase_(alt)_mean_m,5.905802249908447
labvalues_lymphocytes_min,5.85277795791626
labvalues_rdw_mean,5.839366436004639
vitals_dbp_max,5.816081523895264
labvalues_hemoglobin_rate_change,5.761403560638428
vitals_resprate_first,5.7516770362854
vitals_sbp_min,5.726911544799805
demographics_ethnicity_black/african,5.717260837554932
vitals_heartrate_max,5.702629089355469
vitals_dbp_min,5.687553405761719
labvalues_troponin_t_mean,5.687197685241699
labvalues_base_excess_mean,5.666825771331787
vitals_heartrate_mean,5.662230491638184
labvalues_bicarbonate_mean,5.64561128616333
vitals_temperature_min,5.6190185546875
biometrics_weight,5.601471900939941
labvalues_red_blood_cells_min,5.572793006896973
labvalues_sodium_mean,5.557623863220215
biometrics_bmi,5.543740749359131
vitals_heartrate_std,5.523444175720215
labvalues_lactate_mean,5.515567779541016
vitals_dbp_median,5.497335433959961
vitals_resprate_mean,5.4808549880981445
labvalues_ptt_min,5.475503921508789
vitals_dbp_mean,5.445710182189941
vitals_sbp_coeff,5.336710453033447
vitals_sbp_mean,5.332953929901123
labvalues_bands_mean,5.315295219421387
labvalues_creatine_kinase_(ck)_mean_m,5.2834153175354
"labvalues_bilirubin,_direct_mean",5.210439682006836
labvalues_basophils_mean,5.187131881713867
vitals_o2sat_median,5.187026500701904
vitals_dbp_coeff,5.175483226776123
labvalues_absolute_lymphocyte_count_mean,5.1534295082092285
labvalues_neutrophils_mean,5.126354217529297
labvalues_asparate_aminotransferase_(ast)_min,5.122612953186035
vitals_heartrate_rate_change,5.104446887969971
demographics_ethnicity_hispanic/latino,5.07987117767334
"labvalues_calcium,_total_min",5.054192543029785
vitals_dbp_first,5.053513526916504
labvalues_pco2_max,4.941493988037109
vitals_temperature_mean,4.933023452758789
labvalues_lymphocytes_mean,4.8602166175842285
labvalues_sodium_min,4.858061790466309
demographics_age,4.840386867523193
vitals_heartrate_min,4.830216884613037
labvalues_absolute_basophil_count_mean,4.811282157897949
labvalues_potassium_mean,4.803093433380127
vitals_o2sat_std,4.784162998199463
labvalues_hematocrit_mean,4.7411088943481445
vitals_resprate_max,4.740769386291504
labvalues_creatinine_rate_change,4.7303876876831055
labvalues_base_excess_min,4.692351818084717
"labvalues_bilirubin,_total_mean",4.619565486907959
labvalues_troponin_t_min,4.574009895324707
vitals_temperature_mean_m,4.543423175811768
labvalues_hemoglobin_median,4.533888816833496
vitals_resprate_min,4.44146728515625
labvalues_eosinophils_max,4.361390590667725
labvalues_pco2_coeff,4.287384510040283
labvalues_pco2_last,4.182240009307861
labvalues_platelet_count_first,4.107552528381348
labvalues_absolute_basophil_count_min,4.075714588165283
vitals_dbp_last,4.056540012359619
labvalues_glucose_max,4.01662015914917
labvalues_rdw_std,3.9448931217193604
labvalues_absolute_basophil_count_rate_change_m,3.8746752738952637
labvalues_lactate_min,3.8744711875915527
labvalues_red_blood_cells_max,3.8260302543640137
labvalues_inr(pt)_mean,3.777590274810791
labvalues_oxygen_saturation_min,3.732431411743164
vitals_heartrate_mean_m,3.726468563079834
labvalues_ptt_mean,3.6854050159454346
vitals_o2sat_mean,3.6797263622283936
labvalues_inr(pt)_mean_m,3.638793468475342
labvalues_glucose_rate_change,3.5684258937835693
labvalues_hemoglobin_mean,3.464611768722534
vitals_o2sat_first,3.2590160369873047
"labvalues_calcium,_total_mean_m",3.1950817108154297
labvalues_pco2_std,3.173874855041504
demographics_ethnicity_white,2.7822372913360596
labvalues_rdw_max,1.2250502109527588
labvalues_basophils_mean_m,0.9535921812057495
labvalues_glucose_std,0.872523307800293
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",0.6204094886779785
labvalues_absolute_lymphocyte_count_first,0.0
labvalues_absolute_lymphocyte_count_last,0.0
labvalues_absolute_lymphocyte_count_rate_change,0.0
labvalues_absolute_lymphocyte_count_coeff,0.0
labvalues_alanine_aminotransferase_(alt)_median,0.0
labvalues_alanine_aminotransferase_(alt)_min,0.0
labvalues_alanine_aminotransferase_(alt)_max,0.0
labvalues_alanine_aminotransferase_(alt)_std,0.0
labvalues_alanine_aminotransferase_(alt)_first,0.0
labvalues_alanine_aminotransferase_(alt)_last,0.0
labvalues_alanine_aminotransferase_(alt)_rate_change,0.0
labvalues_alanine_aminotransferase_(alt)_coeff,0.0
labvalues_albumin_median,0.0
labvalues_albumin_min,0.0
labvalues_albumin_max,0.0
labvalues_albumin_std,0.0
labvalues_albumin_first,0.0
labvalues_albumin_last,0.0
labvalues_albumin_rate_change,0.0
labvalues_albumin_coeff,0.0
labvalues_alkaline_phosphatase_median,0.0
labvalues_alkaline_phosphatase_min,0.0
labvalues_alkaline_phosphatase_max,0.0
labvalues_alkaline_phosphatase_std,0.0
labvalues_alkaline_phosphatase_first,0.0
labvalues_alkaline_phosphatase_last,0.0
labvalues_alkaline_phosphatase_rate_change,0.0
labvalues_alkaline_phosphatase_coeff,0.0
labvalues_asparate_aminotransferase_(ast)_median,0.0
labvalues_asparate_aminotransferase_(ast)_max,0.0
labvalues_asparate_aminotransferase_(ast)_std,0.0
labvalues_asparate_aminotransferase_(ast)_first,0.0
labvalues_asparate_aminotransferase_(ast)_last,0.0
labvalues_asparate_aminotransferase_(ast)_rate_change,0.0
labvalues_asparate_aminotransferase_(ast)_coeff,0.0
labvalues_bands_median,0.0
labvalues_bands_min,0.0
labvalues_bands_max,0.0
labvalues_bands_std,0.0
labvalues_bands_first,0.0
