feature,mean_abs_shap
labvalues_lactate_first,0.00087147165
vitals_temperature_coeff,0.00086426036
labvalues_absolute_basophil_count_rate_change_m,0.0008279407
labvalues_hemoglobin_last,0.000821366
"labvalues_bilirubin,_direct_mean",0.00082094915
labvalues_basophils_min,0.00076761504
labvalues_bicarbonate_last,0.0007655392
labvalues_free_calcium_max,0.00076140626
labvalues_red_blood_cells_last,0.00075993134
labvalues_platelet_count_mean_m,0.00075657316
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",0.00073441694
labvalues_base_excess_mean_m,0.00073070126
labvalues_troponin_t_mean_m,0.0007247285
vitals_dbp_mean_m,0.0006874066
vitals_sbp_mean_m,0.00063558004
labvalues_neutrophils_min,0.00061392423
labvalues_c-reactive_protein_mean,0.00060797844
labvalues_hemoglobin_min,0.0006034753
labvalues_lactate_mean_m,0.0005665821
vitals_temperature_mean_m,0.0004928541
labvalues_absolute_basophil_count_min,0.00048840843
labvalues_glucose_coeff,0.0004844512
labvalues_glucose_rate_change,0.0004742231
labvalues_lactate_rate_change,0.0004576099
"labvalues_bilirubin,_direct_mean_m",0.00045008806
labvalues_glucose_first,0.00043974235
labvalues_pco2_min,0.00041596527
labvalues_bands_mean_m,0.00039158633
vitals_o2sat_mean_m,0.00038435232
labvalues_chloride_mean_m,0.00036831133
labvalues_creatinine_mean_m,0.00036778382
labvalues_pt_max,0.0003569083
labvalues_lymphocytes_max,0.0003476899
vitals_temperature_median,0.0003459212
labvalues_ph_min,0.0003295247
labvalues_ptt_max,0.00032686317
labvalues_oxygen_saturation_min,0.00032569742
labvalues_oxygen_saturation_mean,0.00031951026
labvalues_glucose_std,0.00031353786
labvalues_absolute_basophil_count_mean_m,0.0003080388
labvalues_lactate_coeff,0.00029795212
"labvalues_calcium,_total_first",0.00029738562
labvalues_creatinine_max,0.00029193127
labvalues_lymphocytes_min,0.00028320303
labvalues_pco2_median,0.00028269397
labvalues_neutrophils_max,0.00028246635
labvalues_oxygen_saturation_mean_m,0.000275676
labvalues_hemoglobin_first,0.00027557623
labvalues_carboxyhemoglobin_mean,0.00027335773
labvalues_magnesium_mean_m,0.0002695863
labvalues_ph_mean_m,0.0002599252
labvalues_pco2_first,0.00025354346
labvalues_rdw_max,0.0002381427
labvalues_asparate_aminotransferase_(ast)_min,0.00022222433
labvalues_platelet_count_rate_change,0.00021129062
"labvalues_bilirubin,_total_mean_m",0.00020313362
labvalues_neutrophils_rate_change_m,0.00013535742
labvalues_creatinine_rate_change,0.0001235991
vitals_heartrate_mean_m,0.0001213495
labvalues_creatine_kinase_(ck)_mean_m,0.00011665578
labvalues_basophils_rate_change_m,0.00011630289
labvalues_alanine_aminotransferase_(alt)_mean_m,0.00011547947
labvalues_hemoglobin_mean_m,0.000106524414
labvalues_white_blood_cells_rate_change,0.000105149324
labvalues_basophils_mean_m,6.9385e-05
labvalues_neutrophils_std,6.544663e-05
"labvalues_bilirubin,_direct_rate_change_m",5.706054e-05
labvalues_pco2_last,5.0313556e-05
labvalues_base_excess_last,3.223108e-05
labvalues_red_blood_cells_std,1.8665847e-05
labvalues_free_calcium_mean,1.7016864e-05
vitals_resprate_mean_m,1.2411082e-05
labvalues_chloride_first,0.0
labvalues_chloride_std,0.0
labvalues_chloride_median,0.0
labvalues_carboxyhemoglobin_coeff,0.0
labvalues_carboxyhemoglobin_rate_change,0.0
labvalues_carboxyhemoglobin_last,0.0
labvalues_carboxyhemoglobin_first,0.0
labvalues_carboxyhemoglobin_std,0.0
labvalues_carboxyhemoglobin_max,0.0
labvalues_carboxyhemoglobin_min,0.0
labvalues_carboxyhemoglobin_median,0.0
"labvalues_calcium,_total_coeff",0.0
"labvalues_calcium,_total_rate_change",0.0
"labvalues_calcium,_total_last",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_rate_change",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_last",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_first",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_std",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_max",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_min",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_median",0.0
labvalues_creatine_kinase_(ck)_coeff,0.0
labvalues_creatine_kinase_(ck)_rate_change,0.0
labvalues_creatine_kinase_(ck)_last,0.0
labvalues_creatine_kinase_(ck)_first,0.0
labvalues_creatine_kinase_(ck)_std,0.0
labvalues_creatine_kinase_(ck)_max,0.0
labvalues_creatine_kinase_(ck)_min,0.0
labvalues_creatine_kinase_(ck)_median,0.0
labvalues_chloride_coeff,0.0
labvalues_c-reactive_protein_last,0.0
labvalues_c-reactive_protein_first,0.0
labvalues_c-reactive_protein_std,0.0
labvalues_c-reactive_protein_max,0.0
labvalues_c-reactive_protein_min,0.0
labvalues_c-reactive_protein_median,0.0
"labvalues_bilirubin,_total_coeff",0.0
"labvalues_bilirubin,_total_rate_change",0.0
"labvalues_bilirubin,_total_last",0.0
"labvalues_bilirubin,_total_first",0.0
"labvalues_bilirubin,_total_std",0.0
"labvalues_bilirubin,_total_max",0.0
"labvalues_bilirubin,_total_min",0.0
"labvalues_bilirubin,_total_median",0.0
labvalues_creatinine_median,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_coeff",0.0
"labvalues_fibrinogen,_functional_min",0.0
"labvalues_fibrinogen,_functional_median",0.0
labvalues_eosinophils_coeff,0.0
labvalues_eosinophils_rate_change,0.0
labvalues_eosinophils_last,0.0
labvalues_eosinophils_first,0.0
labvalues_eosinophils_std,0.0
labvalues_eosinophils_max,0.0
labvalues_eosinophils_median,0.0
labvalues_creatinine_coeff,0.0
labvalues_creatinine_last,0.0
labvalues_creatinine_first,0.0
labvalues_creatinine_std,0.0
labvalues_c-reactive_protein_rate_change,0.0
labvalues_glucose_median,0.0
labvalues_free_calcium_coeff,0.0
labvalues_free_calcium_rate_change,0.0
labvalues_free_calcium_last,0.0
labvalues_free_calcium_first,0.0
labvalues_free_calcium_std,0.0
labvalues_free_calcium_min,0.0
labvalues_free_calcium_median,0.0
"labvalues_fibrinogen,_functional_coeff",0.0
"labvalues_fibrinogen,_functional_rate_change",0.0
"labvalues_fibrinogen,_functional_last",0.0
"labvalues_fibrinogen,_functional_first",0.0
"labvalues_fibrinogen,_functional_std",0.0
"labvalues_fibrinogen,_functional_max",0.0
"labvalues_bilirubin,_direct_rate_change",0.0
"labvalues_bilirubin,_direct_last",0.0
"labvalues_bilirubin,_direct_first",0.0
"labvalues_bilirubin,_direct_std",0.0
"labvalues_bilirubin,_direct_max",0.0
"labvalues_bilirubin,_direct_min",0.0
