feature,importance_gain
entropy,558.5940551757812
prob_mortality365d,202.61061096191406
prob_mortality365d_isotonic,26.260622024536133
labvalues_creatinine_last,11.60382080078125
labvalues_lymphocytes_max,11.15130615234375
labvalues_lactate_min,11.07900619506836
labvalues_inr(pt)_max,10.743003845214844
labvalues_neutrophils_max,10.382671356201172
labvalues_pco2_mean,10.051188468933105
labvalues_troponin_t_mean_m,10.020248413085938
demographics_gender,9.873706817626953
demographics_age,9.812381744384766
labvalues_eosinophils_rate_change_m,9.49621868133545
vitals_temperature_rate_change,9.276973724365234
labvalues_lactate_mean_m,9.159749031066895
labvalues_hemoglobin_last,9.065871238708496
labvalues_platelet_count_last,8.801609992980957
labvalues_potassium_mean_m,8.689697265625
biometrics_weight,8.542980194091797
vitals_heartrate_mean,8.532798767089844
labvalues_red_blood_cells_mean,8.523788452148438
labvalues_chloride_min,8.510860443115234
labvalues_red_blood_cells_max,8.510746002197266
labvalues_troponin_t_mean,8.502509117126465
vitals_heartrate_std,8.481966972351074
labvalues_base_excess_max,8.468424797058105
labvalues_troponin_t_min,8.446535110473633
vitals_temperature_max,8.41843318939209
labvalues_hemoglobin_coeff,8.264124870300293
labvalues_ptt_min,8.261551856994629
vitals_resprate_rate_change,8.187399864196777
labvalues_inr(pt)_mean_m,8.116915702819824
biometrics_height,8.081083297729492
vitals_temperature_last,8.019484519958496
labvalues_albumin_mean,8.011670112609863
vitals_o2sat_last,8.006373405456543
vitals_sbp_std,7.933877944946289
labvalues_ph_mean_m,7.848056793212891
variance,7.847145080566406
biometrics_bmi,7.843819618225098
labvalues_pco2_max,7.805828094482422
vitals_o2sat_std,7.805272579193115
labvalues_absolute_eosinophil_count_mean,7.733182430267334
labvalues_eosinophils_mean,7.731476783752441
vitals_sbp_last,7.642948627471924
vitals_heartrate_first,7.578718185424805
labvalues_chloride_last,7.52097749710083
labvalues_creatine_kinase_(ck)_mean_m,7.472525119781494
labvalues_oxygen_saturation_first,7.466372013092041
labvalues_base_excess_mean,7.4216790199279785
labvalues_phosphate_mean,7.333000183105469
labvalues_pt_max,7.332385540008545
vitals_heartrate_max,7.259103775024414
labvalues_absolute_basophil_count_mean,7.19389009475708
labvalues_red_blood_cells_min,7.180033206939697
vitals_temperature_mean_m,7.176523208618164
labvalues_pt_mean,7.160162925720215
vitals_sbp_first,7.1351542472839355
labvalues_pco2_first,7.125757217407227
labvalues_chloride_mean,7.115230083465576
labvalues_lymphocytes_mean,7.097203254699707
labvalues_creatinine_first,6.98009729385376
vitals_resprate_mean,6.8645339012146
labvalues_urea_nitrogen_min,6.79651403427124
labvalues_absolute_lymphocyte_count_last,6.763561725616455
labvalues_platelet_count_mean,6.68184757232666
vitals_resprate_coeff,6.67428731918335
vitals_heartrate_median,6.672203540802002
labvalues_rdw_mean,6.610143184661865
labvalues_hematocrit_max,6.594475746154785
vitals_temperature_first,6.576631546020508
vitals_sbp_median,6.569202423095703
labvalues_platelet_count_max,6.550712585449219
labvalues_glucose_mean,6.537400245666504
labvalues_neutrophils_mean,6.442770481109619
labvalues_hemoglobin_first,6.413926601409912
"labvalues_calcium,_total_mean",6.3815484046936035
vitals_temperature_mean,6.352640151977539
labvalues_creatinine_mean,6.335479259490967
labvalues_alkaline_phosphatase_mean,6.327020645141602
labvalues_basophils_mean,6.324146747589111
labvalues_basophils_max,6.274413585662842
