feature,importance_gain
prob_mortality365d,350.2080383300781
prob_mortality365d_isotonic,198.33233642578125
labvalues_troponin_t_mean_m,12.269278526306152
labvalues_absolute_basophil_count_max,11.761129379272461
labvalues_basophils_max,11.073360443115234
labvalues_base_excess_min,11.043516159057617
labvalues_glucose_last,10.88453483581543
labvalues_absolute_lymphocyte_count_max,10.349628448486328
demographics_age,10.185738563537598
labvalues_pco2_first,10.066679000854492
vitals_resprate_std,9.892130851745605
labvalues_ptt_mean_m,9.839056015014648
labvalues_absolute_eosinophil_count_max,9.8273344039917
labvalues_pco2_max,9.798221588134766
labvalues_albumin_mean,9.652461051940918
labvalues_bands_mean,9.510453224182129
labvalues_platelet_count_max,9.35209846496582
labvalues_red_blood_cells_max,9.042091369628906
labvalues_hemoglobin_last,9.009180068969727
labvalues_absolute_eosinophil_count_rate_change_m,8.625205993652344
labvalues_urea_nitrogen_min,8.532363891601562
labvalues_base_excess_mean,8.515644073486328
vitals_heartrate_std,8.423572540283203
labvalues_phosphate_mean,8.091246604919434
labvalues_creatine_kinase_(ck)_mean_m,8.030868530273438
biometrics_weight,8.009790420532227
demographics_ethnicity_white,8.006325721740723
vitals_sbp_median,7.945411682128906
labvalues_red_blood_cells_min,7.943118095397949
biometrics_bmi,7.937264919281006
labvalues_hemoglobin_first,7.933732986450195
vitals_temperature_min,7.922662258148193
labvalues_hemoglobin_max,7.885074138641357
labvalues_hemoglobin_mean,7.869469165802002
vitals_sbp_std,7.7325358390808105
labvalues_lactate_mean_m,7.722677707672119
labvalues_pt_mean,7.6922125816345215
vitals_resprate_rate_change,7.6737775802612305
labvalues_pt_min,7.657154083251953
labvalues_glucose_mean,7.643327236175537
labvalues_glucose_max,7.528434753417969
vitals_resprate_max,7.487053871154785
vitals_dbp_max,7.474150657653809
labvalues_potassium_max,7.4348063468933105
"labvalues_bilirubin,_direct_mean",7.3752946853637695
labvalues_neutrophils_max,7.348123073577881
labvalues_lactate_last,7.335486888885498
demographics_gender,7.32888650894165
vitals_o2sat_median,7.314957141876221
labvalues_albumin_mean_m,7.267430782318115
labvalues_platelet_count_mean,7.256655216217041
vitals_heartrate_mean,7.231570720672607
labvalues_urea_nitrogen_mean,7.205418109893799
labvalues_lymphocytes_mean,7.192041397094727
vitals_temperature_max,7.191679954528809
labvalues_platelet_count_min,7.1662468910217285
labvalues_rdw_mean,7.16043758392334
vitals_dbp_last,7.15172815322876
vitals_sbp_last,7.125820636749268
vitals_resprate_mean_m,7.096749782562256
vitals_o2sat_first,7.058285713195801
vitals_resprate_coeff,7.0196852684021
vitals_temperature_first,6.9719696044921875
"labvalues_calcium,_total_max",6.916713714599609
vitals_heartrate_min,6.912575721740723
"labvalues_bilirubin,_total_mean",6.900882244110107
vitals_dbp_min,6.882301330566406
labvalues_bicarbonate_max,6.870109558105469
labvalues_hematocrit_mean,6.844265460968018
biometrics_height_m,6.824202060699463
labvalues_red_blood_cells_mean,6.817165851593018
labvalues_alkaline_phosphatase_mean,6.7965216636657715
labvalues_hematocrit_max,6.794248580932617
labvalues_troponin_t_mean,6.793212890625
labvalues_ph_mean,6.7845354080200195
labvalues_chloride_min,6.731534957885742
labvalues_phosphate_min,6.716827392578125
labvalues_eosinophils_max,6.689524173736572
vitals_o2sat_rate_change,6.651589393615723
vitals_sbp_coeff,6.61270809173584
labvalues_neutrophils_mean,6.60028600692749
labvalues_glucose_median,6.598255634307861
labvalues_ph_min,6.592176914215088
demographics_ethnicity_hispanic/latino,6.590587139129639
vitals_resprate_min,6.529149055480957
vitals_sbp_min,6.514922142028809
labvalues_base_excess_max,6.473240375518799
labvalues_troponin_t_min,6.463511943817139
labvalues_potassium_min,6.451820373535156
