feature,mean_abs_shap
prob_mortality365d,2.1312299
prob_mortality365d_isotonic,0.3860786
demographics_age,0.06736672
demographics_gender,0.052359305
labvalues_lymphocytes_mean,0.0327679
labvalues_red_blood_cells_mean,0.031587966
biometrics_weight,0.030931665
labvalues_rdw_mean,0.03069984
labvalues_albumin_mean,0.027155759
labvalues_platelet_count_mean,0.023627164
labvalues_potassium_first,0.02352468
labvalues_creatinine_mean,0.018151054
labvalues_pt_mean,0.015993062
labvalues_neutrophils_min,0.015588959
"labvalues_calcium,_total_mean",0.015196726
labvalues_troponin_t_mean_m,0.014728315
vitals_dbp_coeff,0.013484725
labvalues_hematocrit_mean,0.013242475
biometrics_bmi,0.012787893
biometrics_height,0.012413666
labvalues_urea_nitrogen_mean,0.011942548
vitals_sbp_min,0.011630344
labvalues_ptt_mean,0.01106829
vitals_heartrate_coeff,0.010346167
labvalues_sodium_mean,0.010240936
labvalues_white_blood_cells_mean,0.0097372625
labvalues_hemoglobin_mean,0.0096603595
vitals_o2sat_median,0.00945487
labvalues_red_blood_cells_max,0.009364716
labvalues_pt_max,0.009350903
labvalues_lymphocytes_max,0.009257593
labvalues_potassium_mean,0.008919161
vitals_resprate_last,0.008863108
labvalues_rdw_min,0.008745504
labvalues_base_excess_mean,0.007930538
labvalues_lactate_mean,0.0077730864
vitals_sbp_max,0.0074454416
vitals_sbp_coeff,0.0074448967
labvalues_albumin_max,0.0074021476
vitals_sbp_last,0.0073738024
vitals_heartrate_max,0.007177286
vitals_dbp_median,0.0068430877
vitals_dbp_last,0.006806592
labvalues_eosinophils_mean,0.0066097034
vitals_heartrate_median,0.006483307
vitals_temperature_mean,0.0064164954
vitals_dbp_first,0.00616158
labvalues_troponin_t_min,0.0061111967
vitals_resprate_min,0.006059805
labvalues_platelet_count_min,0.0060421405
labvalues_creatine_kinase_(ck)_mean,0.005277689
vitals_heartrate_rate_change,0.0052635777
labvalues_albumin_mean_m,0.0052052825
vitals_o2sat_mean,0.004933924
vitals_o2sat_rate_change,0.0047722305
labvalues_potassium_max,0.0046020406
labvalues_platelet_count_last,0.004536178
labvalues_chloride_mean,0.004394747
labvalues_troponin_t_mean,0.0043638763
vitals_sbp_std,0.0043368647
labvalues_hemoglobin_min,0.0043288805
vitals_temperature_std,0.004256045
labvalues_oxygen_saturation_mean,0.0040851156
