prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.4,Baseline,-,0.3347,-,0.3347,0.9581,0.0,0.3437,0.966,0.0,287,178,548,5056,-,-
0.41,Baseline,-,0.3266,-,0.3266,0.9601,0.0,0.3341,0.9683,0.0,279,166,556,5068,-,-
0.42,Baseline,-,0.3159,-,0.3159,0.9627,0.0,0.321,0.971,0.0,268,152,567,5082,-,-
0.43,Baseline,-,0.3012,-,0.3012,0.9662,0.0,0.3138,0.9731,0.0,262,141,573,5093,-,-
0.44,Baseline,-,0.2918,-,0.2918,0.9696,0.0,0.3018,0.9755,0.0,252,128,583,5106,-,-
0.45,Baseline,-,0.2798,-,0.2798,0.9714,0.0,0.2874,0.9767,0.0,240,122,595,5112,-,-
0.46,Baseline,-,0.2677,-,0.2677,0.9735,0.0,0.2743,0.9769,0.0,229,121,606,5113,-,-
0.47,Baseline,-,0.2544,-,0.2544,0.9743,0.0,0.2623,0.9788,0.0,219,111,616,5123,-,-
0.48,Baseline,-,0.2436,-,0.2436,0.9769,0.0,0.2515,0.9792,0.0,210,109,625,5125,-,-
0.49,Baseline,-,0.2276,-,0.2276,0.9785,0.0,0.2431,0.9805,0.0,203,102,632,5132,-,-
0.5,Baseline,-,0.2222,-,0.2222,0.9797,0.0,0.2311,0.9818,0.0,193,95,642,5139,-,-
0.51,Baseline,-,0.2129,-,0.2129,0.9806,0.0,0.2216,0.984,0.0,185,84,650,5150,-,-
0.52,Baseline,-,0.2062,-,0.2062,0.9818,0.0,0.2072,0.9857,0.0,173,75,662,5159,-,-
0.53,Baseline,-,0.2008,-,0.2008,0.9834,0.0,0.2,0.9862,0.0,167,72,668,5162,-,-
0.54,Baseline,-,0.1901,-,0.1901,0.9844,0.0,0.1904,0.988,0.0,159,63,676,5171,-,-
0.55,Baseline,-,0.1767,-,0.1767,0.9854,0.0,0.182,0.9885,0.0,152,60,683,5174,-,-
0.56,Baseline,-,0.17,-,0.17,0.9864,0.0,0.1749,0.9893,0.0,146,56,689,5178,-,-
0.57,Baseline,-,0.158,-,0.158,0.9876,0.0,0.1641,0.9901,0.0,137,52,698,5182,-,-
0.58,Baseline,-,0.1526,-,0.1526,0.9885,0.0,0.1509,0.9903,0.0,126,51,709,5183,-,-
0.59,Baseline,-,0.1473,-,0.1473,0.9899,0.0,0.1449,0.9904,0.0,121,50,714,5184,-,-
0.6,Baseline,-,0.1365,-,0.1365,0.9909,0.0,0.1377,0.9908,0.0,115,48,720,5186,-,-
0.61,Baseline,-,0.1285,-,0.1285,0.9919,0.0,0.1293,0.9918,0.0,108,43,727,5191,-,-
0.62,Baseline,-,0.1232,-,0.1232,0.9925,0.0,0.1246,0.9927,0.0,104,38,731,5196,-,-
0.63,Baseline,-,0.1191,-,0.1191,0.9933,0.0,0.1174,0.9933,0.0,98,35,737,5199,-,-
0.64,Baseline,-,0.1084,-,0.1084,0.9943,0.0,0.1138,0.9941,0.0,95,31,740,5203,-,-
0.65,Baseline,-,0.1031,-,0.1031,0.9949,0.0,0.1078,0.9947,0.0,90,28,745,5206,-,-
0.66,Baseline,-,0.0964,-,0.0964,0.9949,0.0,0.0994,0.9954,0.0,83,24,752,5210,-,-
0.67,Baseline,-,0.091,-,0.091,0.9949,0.0,0.0946,0.9956,0.0,79,23,756,5211,-,-
0.68,Baseline,-,0.0843,-,0.0843,0.9955,0.0,0.0898,0.9956,0.0,75,23,760,5211,-,-
0.69,Baseline,-,0.0803,-,0.0803,0.9955,0.0,0.0838,0.9958,0.0,70,22,765,5212,-,-
